"UNIVERSITY OF TECHNOLOGY, MAURITIUS",,,,,,,,,,,,,,,,,,,,,
SCHOOL OF INNOVATIVE TECHNOLOGIES AND ENGINEERING,,,,,,,,,,,,,,,,,,,,,
Academic Year 2025 Semester 2 and Academic Year 2025/2026 Semester 1,,,,,,,,,,,,,,,,,,,,,
Semester start date: 21 October 2025,,,,,,,,,,,,,,,,,,,,,
Last date for submission of Exemption: 10 November 2025,,,,,,,,,,,,,,,,,,,,,
Semester tentative end date/s: 01 February 2026 (Tentative) (week 12) & 22 February 2026 (week 15),,,,,,,,,,,,,,,,,,,,,
"Classes are conducted at BPML Building, La Tour Koenig and Practicals in Laboraties on UTM Campus",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Lecture / Practicals,,
Dept,Programme,Programme Document Version,"Level Sem
e.g L1S2",Cohort,Semester Duration (15 / 12 Weeks),No. of Students,"Head Of Dept
SURNAME Name (Title)","Programme Director
SURNAME Name (Title)",PROGRAMME COORDINATOR,Module Code,Module Title,L + T/P,No. of Credits,Weightage,"Resource Person
SURNAME Name (Title)",FT/PT,"Face to Face
(Odd / Even Weeks?) ","Online Sessions
(Odd / Even Weeks?) ",Day,Time ,Venue
BISE,BSc (Hons) Software Engineering,8.1,L1S1,BSE/25B/FT,12 Weeks,28,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),FOOGOOA Ravi (Dr),HCA1106C,Computer Organisation & Architecture,2+1+7,6,40:60,SUNGKUR Caleecharan (Mr),PT,Wk 7 - 12,Wk 1 - 6,Monday,08:00 - 11:00,BPML 2.08
BISE,BSc (Hons) Software Engineering,8.1,L1S1,BSE/25B/FT,12 Weeks,28,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),FOOGOOA Ravi (Dr),PROG1101C,Programming Concepts,2+1+7,6,40:60,TULSI Ashwin (Mr),FT,Wk 7 - 12,Wk 1 - 6,Tuesday,13:00 - 16:00,Lab G0.2
BISE,BSc (Hons) Software Engineering,8.1,L1S1,BSE/25B/FT,12 Weeks,28,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),FOOGOOA Ravi (Dr),MATH1103C,Decision Mathematics,2+1+7,6,30:70,BHATOO-RAMKISSOON Omishwary (Dr),FT,Wk 7 - 12,Wk 1 - 6,Friday,8:00 - 11:00,BPML 0.08
BISE,BSc (Hons) Software Engineering,8.1,L1S1,BSE/25B/FT,12 Weeks,28,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),FOOGOOA Ravi (Dr),ITE1108C,Professional Issues in ICT,2+1+7,6,100% CWK,FOOGOOA Ravi (Dr),FT,Wk 7 - 12,Wk 1 - 6,Thursday,11.00 - 14.00,BPML 2.08
BISE,BSc (Hons) Software Engineering,8.1,L1S1,BSE/25B/FT,12 Weeks,28,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),FOOGOOA Ravi (Dr),CAN1104C,Networking Essentials,2+1+7,6,100% CWK,ASSOTALLY Nooreenah Ameerah (Mrs),FT,Wk 7 - 12,Wk 1 - 6,Monday,11:00 - 14:00,BPML 2.08
BISE,BSc (Hons) Web Technologies,5,L3S2,BWT/23A/FT,15 Weeks,16,SUDDUL Geerish (Dr.),KANAKSABEE Pillay (Mr),KANAKSABEE Pillay (Mr),SEM2123C,Software Quality & Testing,2+1+7,6,40:60,RAMWODIN Loovesh (Mr),FT,Even,Odd,Friday,13:00 - 16:00,Lab G1.2
BISE,BSc (Hons) Web Technologies,5,L3S2,BWT/23A/FT,15 Weeks,16,SUDDUL Geerish (Dr.),KANAKSABEE Pillay (Mr),KANAKSABEE Pillay (Mr),MKTG2106C,Digital Marketing ,2+1+7,6,40:60,DENMAMODE Leila (Dr),FT,Even,Odd,Tuesday,09:00 - 12:00,DEL Lab
BISE,BSc (Hons) Web Technologies,5,L3S2,BWT/23A/FT,15 Weeks,16,SUDDUL Geerish (Dr.),KANAKSABEE Pillay (Mr),KANAKSABEE Pillay (Mr),ENTR3115C,Entrepreneurship and Ecommerce,2+1+7,6,40:60,PANCHOO Shireen Assoc Prof (Dr),FT,Even,Odd,Tuesday,13:00 - 16:00,BPML 1.09
BISE,BSc (Hons) Web Technologies,5,L3S2,BWT/23A/FT,15 Weeks,16,SUDDUL Geerish (Dr.),KANAKSABEE Pillay (Mr),KANAKSABEE Pillay (Mr),PROJ2119C,Work Placement (off semester),,6,100% CWK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BISE,BSc (Hons) Web Technologies,5,L3S2,BWT/23A/FT,15 Weeks,16,SUDDUL Geerish (Dr.),KANAKSABEE Pillay (Mr),KANAKSABEE Pillay (Mr),PROJ3105C,System Development Project ,,12,100% CWK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BISE,BSc (Hons) Web Technologies,5,L2S2,BWT/24A/FT,15 Weeks,8,SUDDUL Geerish (Dr.),KANAKSABEE Pillay (Mr),KANAKSABEE Pillay (Mr),WAT2140C,Web Service Development ,2+1+7,6,100% CWK,LUCHMUN Sadhveer Sharma (Mr),PT,Even,Odd,Saturday,08:00 - 11:00,BPML 2.08
BISE,BSc (Hons) Web Technologies,5,L2S2,BWT/24A/FT,15 Weeks,8,SUDDUL Geerish (Dr.),KANAKSABEE Pillay (Mr),KANAKSABEE Pillay (Mr),MULT1119C,Game Design & Interactive Systems,2+1+7,6,40:60,LALOO Nassirah (Dr),FT,Odd,Even,Wednesday,09:00 - 12:00,DML Lab
BISE,BSc (Hons) Web Technologies,5,L2S2,BWT/24A/FT,15 Weeks,8,SUDDUL Geerish (Dr.),KANAKSABEE Pillay (Mr),KANAKSABEE Pillay (Mr),SEM2121C,Agile Project Management,2+1+7,6,50:50:00,FOOGOOA Ravi (Dr),FT,Full F2F,N/A,Friday,11.00 - 14.00,BPML 1.09
BISE,BSc (Hons) Web Technologies,5,L2S2,BWT/24A/FT,15 Weeks,8,SUDDUL Geerish (Dr.),KANAKSABEE Pillay (Mr),KANAKSABEE Pillay (Mr),WAT2108C,Open Source Web Technologies ,2+1+7,6,100% CWK,KANAKSABEE Pillay (Mr),FT,Full F2F,N/A,Monday,08:30 - 11:30,Lab G1.3
BISE,BSc (Hons) Web Technologies,5,L2S2,BWT/24A/FT,15 Weeks,8,SUDDUL Geerish (Dr.),KANAKSABEE Pillay (Mr),KANAKSABEE Pillay (Mr),MCT2108C,Cross-Platform Mobile Application,2+1+7,6,100% CWK,LUBRUN Veeresh Kumar (Mr),PT,Even,Odd,Saturday,12:00 - 15:00,DML Lab
BISE,BSc(Hons) Cyber Security,1.2,L2S2,BCS/24A/FT,15 Weeks,12,SUDDUL Geerish (Dr.),RAMWODIN Loovesh (Mr),RAMWODIN Loovesh (Mr),SEM2125C,Secure Software Development Process ,3+9.5,6,,LUCHOO Mevin (Mr),FT,Even,Odd,Wednesday,13:00 - 16:00,Lab G0.4
BISE,BSc(Hons) Cyber Security,1.2,L2S2,BCS/24A/FT,15 Weeks,12,SUDDUL Geerish (Dr.),RAMWODIN Loovesh (Mr),RAMWODIN Loovesh (Mr),OSS2110C ,Server Administration & Security ,3+9.5,6,,COODYE Lowe (Mr),PT,Even,Odd,Saturday,08:30 - 11:30,DEL Lab
BISE,BSc(Hons) Cyber Security,1.2,L2S2,BCS/24A/FT,15 Weeks,12,SUDDUL Geerish (Dr.),RAMWODIN Loovesh (Mr),RAMWODIN Loovesh (Mr),WAT2144C ,Back-end Development & API Security,3+9.5,6,,KANAKSABEE Pillay (Mr),FT,Full F2F,N/A,Wednesday,08:30 - 11:30 ,Lab G1.3
BISE,BSc(Hons) Cyber Security,1.2,L2S2,BCS/24A/FT,15 Weeks,12,SUDDUL Geerish (Dr.),RAMWODIN Loovesh (Mr),RAMWODIN Loovesh (Mr),MGMT2107C,Research Methodology,3+9.5,6,,DHUNY Riyad (Dr),FT,Odd,Even,Monday,09:00 - 12:00,DEL Lab
BISE,BSc(Hons) Cyber Security,1.2,L2S2,BCS/24A/FT,15 Weeks,12,SUDDUL Geerish (Dr.),RAMWODIN Loovesh (Mr),RAMWODIN Loovesh (Mr),SECU2132C,Cloud Security & Infrastructure,3+9.5,6,,SEEREEKISSOON Kewalnath (Mr),PT,Even,Odd,Saturday,12:00 - 15:00,DEL Lab
BISE,BSc(Hons) Cyber Security,1.2,L1S2,BCS/25A/FT,12 Weeks,17,SUDDUL Geerish (Dr.),RAMWODIN Loovesh (Mr),RAMWODIN Loovesh (Mr),MATH1170C,Mathematics for Cyber Security II ,3+9.5,6,,BHATOO-RAMKISSOON Omishwary (Dr),FT,Odd,Even,Tuesday,08:00 - 11:00,BPML 2.08
BISE,BSc(Hons) Cyber Security,1.2,L1S2,BCS/25A/FT,12 Weeks,17,SUDDUL Geerish (Dr.),RAMWODIN Loovesh (Mr),RAMWODIN Loovesh (Mr),OSS1116C,UNIX Operating Systems ,3+9.5,6,,DHUNY Riyad (Dr),FT,Odd,Even,Tuesday,13:00 - 16:00,DML Lab
BISE,BSc(Hons) Cyber Security,1.2,L1S2,BCS/25A/FT,12 Weeks,17,SUDDUL Geerish (Dr.),RAMWODIN Loovesh (Mr),RAMWODIN Loovesh (Mr),PROG1127C,Programming Language for Cyber Security I,3+9.5,6,,RAMWODIN Loovesh (Mr),FT,Full F2F,N/A,Thursday,9:00 - 12:00,Lab G1.3
BISE,BSc(Hons) Cyber Security,1.2,L1S2,BCS/25A/FT,12 Weeks,17,SUDDUL Geerish (Dr.),RAMWODIN Loovesh (Mr),RAMWODIN Loovesh (Mr),SECU1120C,Ethical Network Hacking,3+9.5,6,,ASSOTALLY Nooreenah Ameerah (Mrs),FT,Odd,Even,Wednesday,11:00 - 14:00,Lab G0.4
BISE,BSc(Hons) Cyber Security,1.2,L1S2,BCS/25A/FT,12 Weeks,17,SUDDUL Geerish (Dr.),RAMWODIN Loovesh (Mr),RAMWODIN Loovesh (Mr),DBT1121C,"Relational Data Modelling & 
Implementation",3+9.5,6,,SEEGOBIN Hansraj (Mr),FT,Full F2F,N/A,Friday,13:00 - 16:00,Lab G1.3
BISE,BSc(Hons.) Business Information Systems,v7.1,L3S1,BIS/23B/FT,15 Weeks,4,SUDDUL Geerish (Dr.),TULSI Ashwin (Mr.),TULSI Ashwin (Mr.),ISM3103C,Enterprise Resource Planning,2+1+7,6,50% EXAMS: 50% CWK,LUCHOO Mevin (Mr),FT,Full F2F,N/A,Friday,09:00 - 12:00,Lab G1.3
BISE,BSc(Hons.) Business Information Systems,v7.1,L3S1,BIS/23B/FT,15 Weeks,4,SUDDUL Geerish (Dr.),TULSI Ashwin (Mr.),TULSI Ashwin (Mr.),SECU2128C,Computer Security,2+1+7,6,50% EXAMS: 50% CWK,LUCHOO Mevin (Mr),FT ,Even,Odd,Thursday ,8:00 - 11:00,DEL Lab
BISE,BSc(Hons.) Business Information Systems,v7.1,L3S1,BIS/23B/FT,15 Weeks,4,SUDDUL Geerish (Dr.),TULSI Ashwin (Mr.),TULSI Ashwin (Mr.),UTM3000,Entrepreneurship & Innovation,2+1+7,6,100% CWK,MUNGRA Mirnal (Mr),FT,Even,Odd,Monday,11:00 - 14:00,BPML 0.02A
BISE,BSc(Hons.) Business Information Systems,v7.1,L3S1,BIS/23B/FT,15 Weeks,4,SUDDUL Geerish (Dr.),TULSI Ashwin (Mr.),TULSI Ashwin (Mr.),WAT2137C,Advanced Internet Programming,2+1+7,6,100% CWK,KANAKSABEE Pillay (Mr),FT ,Full F2F,N/A,Wednesday,12:00 - 15:00,Lab G1.3
BISE,BSc(Hons.) Business Information Systems,v7.1,L3S1,BIS/23B/FT,15 Weeks,4,SUDDUL Geerish (Dr.),TULSI Ashwin (Mr.),TULSI Ashwin (Mr.),PROJ3105C,System Development Project,,12,100% CWK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BISE,MSc Artificial Intelligence with Machine Learning,2,M S3,MAIML/24B/PT,12 Weeks,17,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SUDDUL Geerish (Dr),SCG5137C,Generative AI Models,3,6,100%CW,SUDDUL Geerish (Dr),FT,Even,Odd,Thursday,16:30 - 19:30,Lab G1.1
BISE,MSc Artificial Intelligence with Machine Learning,2,M S3,MAIML/24B/PT,12 Weeks,17,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SUDDUL Geerish (Dr),INT5104C,Smart Autonomous Systems,3,6,100% CWK,JUNGUM Nevin Vunka (Dr),PT,Even,Odd,Tuesday,17:00 - 20:00,BPML 0.11
BISE,MSc Artificial Intelligence with Machine Learning,2,M S3,MAIML/24B/PT,12 Weeks,17,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SUDDUL Geerish (Dr),SCG5134C,Enterprise AI Solutions,3,6,40:60,SOWDAGUR Jameel Ahmad (Mr),PT,Even,Odd,Monday,17:00 - 20:00,BPML 0.02A
BISE,MSc Artificial Intelligence with Machine Learning,2,M S3,MAIML/24B/PT,12 Weeks,17,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SUDDUL Geerish (Dr),SCG5132C,Ethics of Artificial Intelligence & Machine Learning,3,6,40:60,SOYJAUDAH Sunjiv (Prof),PT,Even,Odd,Wednesday,17:00 - 20:00,BPML 0.11
BISE,MSc Artificial Intelligence with Machine Learning,2,M S3,MAIML/24B/PT,12 Weeks,17,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SUDDUL Geerish (Dr),PROJ5201C,Dissertation (on-going),,18,100% CWK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BISE,MSc Artificial Intelligence with Machine Learning,2,M S2,MAIML/25A/PT,12 Weeks,37,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SUDDUL Geerish (Dr),SCG5129C,Unsupervised Machine Learning Techniques,3,6,40:60,CHENGLERAYEN Kharuna (Ms),PT,Even,Odd,Thursday,17:00 - 20:00,Lab G1.2
BISE,MSc Artificial Intelligence with Machine Learning,2,M S2,MAIML/25A/PT,12 Weeks,37,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SUDDUL Geerish (Dr),SCG5131C,Deep Learning Techniques,3,6,100% CWK,SUDDUL Geerish (Dr),FT,Even,Odd,Tuesday,16:30 - 19:30,Lab G1.1
BISE,MSc Artificial Intelligence with Machine Learning,2,M S2,MAIML/25A/PT,12 Weeks,37,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SUDDUL Geerish (Dr),MSN5206C,Big Data Analytics,3,6,100% CWK,JUNGUM Nevin Vunka (Dr),PT,Even,Odd,Wednesday,17:00 - 20:00,BPML 0.02A
BISE,MSc Artificial Intelligence with Machine Learning,2,M S2,MAIML/25A/PT,12 Weeks,37,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SUDDUL Geerish (Dr),SCG5133C,Reinforcement Learning,3,6,40:60,SOWDAGUR Jameel Ahmad (Mr),PT,Even,Odd,Friday,17:00 - 20:00,BPML 0.11
BISE,MSc Artificial Intelligence with Machine Learning,2,M S2,MAIML/25A/PT,12 Weeks,37,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SUDDUL Geerish (Dr),PROJ5201C,Dissertation(new),,18,100% CWK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BISE,MSc Artificial Intelligence with Machine Learning,2,M S1,MAIML/25B/PT,12 Weeks,23,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SUDDUL Geerish (Dr),SCG5128C,Supervised Machine Learning Techniques,3,6,100% CWK,SUDDUL Geerish (Dr),FT,Wk 7 - 12,Wk 1 - 6,Friday,16:30 - 19:30,Lab G1.2
BISE,MSc Artificial Intelligence with Machine Learning,2,M S1,MAIML/25B/PT,12 Weeks,23,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SUDDUL Geerish (Dr),MATH5351C,Essential Mathematics for Machine Learning,3,6,40:60,SAIB Aslam (Dr),FT,Wk 7 - 12,Wk 1 - 6,Thursday,17:00 - 20:00,BPML 2.08
BISE,MSc Artificial Intelligence with Machine Learning,2,M S1,MAIML/25B/PT,12 Weeks,23,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SUDDUL Geerish (Dr),SCG5127C,Research Methods for Computing,3,6,100% CWK,ARMOOGUM Vinaye (Prof),FT,Wk 7 - 12,Wk 1 - 6,Wednesday,17:00 - 20:00,BPML 1.09
BISE,MSc Artificial Intelligence with Machine Learning,2,M S1,MAIML/25B/PT,12 Weeks,23,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),SUDDUL Geerish (Dr),MSN5207C,Data Processing Methods,3,6,100% CWK,CHENGLERAYEN Kharuna (Ms),PT,Wk 7 - 12,Wk 1 - 6,Tuesday,17:00 - 20:00,Lab G1.2
BISE,MSc Enterprise Security and Digital Forensics,2,M S3,MESDF/24B/PT,12 Weeks,15,SUDDUL Geerish (Dr.),PANCHOO Shireen (AP),PANCHOO Shireen (AP),SECU5125C,Blockchain Security,2 + 1+7,6,,ARMOOGUM Sandhya Assoc Prof (Dr),FT,Odd,Even,Thursday,17:00 - 20:00,BPML 0.11
BISE,MSc Enterprise Security and Digital Forensics,2,M S3,MESDF/24B/PT,12 Weeks,15,SUDDUL Geerish (Dr.),PANCHOO Shireen (AP),PANCHOO Shireen (AP),ISM5121C,Cybercrime & Law,2 + 1+7,6,,SOYJAUDAH Sunjiv (Prof),PT,Odd,Even,Tuesday,17:00 - 20:00,BPML 2.08
BISE,MSc Enterprise Security and Digital Forensics,2,M S3,MESDF/24B/PT,12 Weeks,15,SUDDUL Geerish (Dr.),PANCHOO Shireen (AP),PANCHOO Shireen (AP),SECU5117C,Mobile & Wireless Network Security ,2 + 1+7,6,,ABDUL Bye Ahmad Sehzaad (Mr),PT,Odd,Even,Friday,17:00 - 20:00,BPML 1.09
BISE,MSc Enterprise Security and Digital Forensics,2,M S3,MESDF/24B/PT,12 Weeks,15,SUDDUL Geerish (Dr.),PANCHOO Shireen (AP),PANCHOO Shireen (AP),ISM5132C,Information Security Management,2 + 1+7,6,,PURUSRAM Gianish (Mr),PT,Odd,Even,Wednesday,17:00 - 20:00,Lab G0.3
BISE,MSc Enterprise Security and Digital Forensics,2,M S1,MESDF/25B/PT,12 Weeks,19,SUDDUL Geerish (Dr.),PANCHOO Shireen (AP),PANCHOO Shireen (AP),SECU5126C ,Ethical Hacking and Cybersecurity ,3+9.5  ,6,,PURUSRAM Gianish (Mr),PT,Wk 7 - 12,Wk 1 - 6,Tuesday,17:00 - 20:00,Lab G0.3
BISE,MSc Enterprise Security and Digital Forensics,2,M S1,MESDF/25B/PT,12 Weeks,19,SUDDUL Geerish (Dr.),PANCHOO Shireen (AP),PANCHOO Shireen (AP),SECU5116C,Security Technologies,3+9.5 ,6,,SOYJAUDAH Sunjiv (Prof),PT,Wk 7 - 12,Wk 1 - 6,Thursday,17:00 - 20:00,BPML 1.09
BISE,MSc Enterprise Security and Digital Forensics,2,M S1,MESDF/25B/PT,12 Weeks,19,SUDDUL Geerish (Dr.),PANCHOO Shireen (AP),PANCHOO Shireen (AP),SEM5122C ,Research Methodology and Ethics,3+9.5 ,6,,PANCHOO Shireen Assoc Prof (Dr),FT,Wk 7 - 12,Wk 1 - 6,Wednesday,17:00 - 20:00,BPML 2.08
BISE,MSc Enterprise Security and Digital Forensics,2,M S1,MESDF/25B/PT,12 Weeks,19,SUDDUL Geerish (Dr.),PANCHOO Shireen (AP),PANCHOO Shireen (AP),M5120C ,Digital Forensics & Investigation ,3+9.5 ,6,,ARMOOGUM Sheeba Assoc Prof (Dr),PT,Wk 7 - 12,Wk 1 - 6,Friday,17:00 - 20:00,BPML 0.08
CAFMT,BA (Hons) Graphics Design,V4.0,L3S2,BGD/23A/FT,15 Weeks,11,DHUNY Riyad (Dr),DHUNY Riyad (Dr)+G191:G195,DENMAMODE Leila (Dr),GRPH2103C,Audio Visual Production and Technology,3+7,6,40:60,DHUNY Riyad (Dr),FT,Odd,Even,Tuesday,09:00 - 12:00,DML Lab
CAFMT,BA (Hons) Graphics Design,V4.0,L3S2,BGD/23A/FT,15 Weeks,11,DHUNY Riyad (Dr),LALOO Nassirah (Dr),DENMAMODE Leila (Dr),GRPH2125C,Design for Interactive Media,3+7,6,40:60,LALOO Nassirah (Dr),FT,Even,Odd,Friday,09:00 - 12:00,Lab G1.5
CAFMT,BA (Hons) Graphics Design,V4.0,L3S2,BGD/23A/FT,15 Weeks,11,DHUNY Riyad (Dr),LALOO Nassirah (Dr),DENMAMODE Leila (Dr),GRPH3111C,Visual Identity and Branding,3+7,6,40:60,DENMAMODE Leila (Dr),FT,Even,Odd,Wednesday,09:00 - 12:00,DML Lab
CAFMT,BA (Hons) Graphics Design,V4.0,L3S2,BGD/23A/FT,15 Weeks,11,DHUNY Riyad (Dr),LALOO Nassirah (Dr),DENMAMODE Leila (Dr),GRPH3109C,Packaging Design,3+7,6,40:60,DENMAMODE Leila (Dr),FT,Even,Odd,Wednesday,13:00 - 16:00,DML Lab
CAFMT,BA (Hons) Graphics Design,V4.0,L2S2,BGD/24A/FT,15 Weeks,18,DHUNY Riyad (Dr),LALOO Nassirah (Dr),DHUNY Riyad (Dr),GRPH1104C,Basic 3D Animation,3+7,6,40:60,AUNGNOO Chiranjiv (Mr),FT,Even,Odd,Monday,09:00 - 12:00,DML Lab
CAFMT,BA (Hons) Graphics Design,V4.0,L2S2,BGD/24A/FT,15 Weeks,18,DHUNY Riyad (Dr),LALOO Nassirah (Dr),DHUNY Riyad (Dr),UTM2101,Life Skills and Good Practices,3+7,6,,AUNGNOO Chiranjiv (Mr),FT,Odd,Even,Thursday,11.00 - 14.00,BPML 0.02A
CAFMT,BA (Hons) Graphics Design,V4.0,L2S2,BGD/24A/FT,15 Weeks,18,DHUNY Riyad (Dr),LALOO Nassirah (Dr),DHUNY Riyad (Dr),MULT2106C,Advanced Video Editing,3+7,6,40:60,AUNGNOO Chiranjiv (Mr),FT,Even,Odd,Monday,13:00 - 16:00,DML Lab
CAFMT,BA (Hons) Graphics Design,V4.0,L2S2,BGD/24A/FT,15 Weeks,18,DHUNY Riyad (Dr),LALOO Nassirah (Dr),DHUNY Riyad (Dr),PROJ2108C,Portfolio Development,3+7,6,100% CWK,LALOO Nassirah (Dr),FT,Even,Odd,Tuesday,09:00 - 12:00,DML Lab
ISE,BEng(Hons) Electronic Engineering,4.1,L3S2,BEE/23A/FT,15 Weeks,10,GOPEE Ajit (Mr),HEERASING R H (Mr),HEERASING Rishi (Mr),BEE3208C,Optoelectronic Devices & Applications,3+7,6,,HEERASING Rishi (Mr),FT,Odd,Even,Thursday,11:00 - 14:00,BPML 0.08
ISE,BEng(Hons) Electronic Engineering,4.1,L3S2,BEE/23A/FT,15 Weeks,10,GOPEE Ajit (Mr),HEERASING R H (Mr),HEERASING Rishi (Mr),BEE3209C,Project Management for Engineers,3+7,5,,MUNGRA Mirnal (Mr),FT,Odd,Even,Wednesday,11.00 - 14.00,BPML 0.11
ISE,BEng(Hons) Electronic Engineering,4.1,L3S2,BEE/23A/FT,15 Weeks,10,GOPEE Ajit (Mr),HEERASING R H (Mr),HEERASING Rishi (Mr),BEE3210C,RF & Microwave System Design,3+7,6,,BHUNGEE Pravesh (Mr),PT,Odd,Even,Friday,9.00 - 12.00,DEL Lab
ISE,BEng(Hons) Electronic Engineering,4.1,L3S2,BEE/23A/FT,15 Weeks,10,GOPEE Ajit (Mr),HEERASING R H (Mr),HEERASING Rishi (Mr),BEE3211C,Feedback Control,3+7,6,,BHUNGEE Pravesh (Mr),PT,Odd,Even,Friday,12.30 - 15.30,DEL Lab
ISE,BEng(Hons) Electronic Engineering,4.1,L3S2,BEE/23A/FT,15 Weeks,10,GOPEE Ajit (Mr),HEERASING R H (Mr),HEERASING Rishi (Mr),BEE3212C,Design and Innovation Project,3+7,8,,MUNGRA Mirnal (Mr),FT,Odd,Even,Tuesday,11.00 - 14.00,BPML 0.08
ISE,BEng(Hons) Electronic Engineering,4.1,L3S2,BEE/23A/FT,15 Weeks,10,GOPEE Ajit (Mr),HEERASING R H (Mr),HEERASING Rishi (Mr),BEE3101C,Professional Studies,1 week (during break),0,,HEERASING Rishi (Mr),FT,Off Semester,,N/A,N/A,N/A
ISE,BSc (Hons) Computer Science with Network Security,6,L3S3,BCNS/21B/PT,15 Weeks,5,GOPEE Ajit (Mr),ARMOOGUM Sandhya (AP),MUNGRA Mirnal (Mr),BCNS3006C,Capstone Computer Science Project (ongoing),N/A,12,100% CWK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ISE,BSc (Hons) Computer Science with Network Security,6,L3S3,BCNS/21B/PT,15 Weeks,5,GOPEE Ajit (Mr),ARMOOGUM Sandhya (AP),MUNGRA Mirnal (Mr),BCNS3108C,Cloud Computing,3+7,6,,VENCATAPILLAY Vellen (Mr),PT,Odd,Even,Saturday,12.30 - 15.30,Lab G1.2
ISE,BSc (Hons) Computer Science with Network Security,6,L3S3,BCNS/21B/PT,15 Weeks,5,GOPEE Ajit (Mr),ARMOOGUM Sandhya (AP),MUNGRA Mirnal (Mr),BCNS3109C,Cryptocurrency & Blockchain,3+7,6,,ARMOOGUM Sandhya Assoc Prof (Dr),FT,Odd,Even,Tuesday,16:30 - 19:30,Lab G0.2
ISE,BSc (Hons) Computer Science with Network Security,6,L3S2,BCNS/23A/FT1,15 Weeks,19,GOPEE Ajit (Mr),ARMOOGUM Sandhya (AP),HEERASING Rishi (Mr),BCNS3006C,Capstone Computer Science Project (Ongoing),N/A,12,100% CWK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ISE,BSc (Hons) Computer Science with Network Security,6,L3S2,BCNS/23A/FT1,15 Weeks,19,GOPEE Ajit (Mr),ARMOOGUM Sandhya (AP),HEERASING Rishi (Mr),BCNS3207C,Digital Forensics,3+7,6,,SURAJBALI Bolanath (Mr),PT,Odd,Even,Saturday,9.00 - 12.00,Lab G1.1
ISE,BSc (Hons) Computer Science with Network Security,6,L3S2,BCNS/23A/FT1,15 Weeks,19,GOPEE Ajit (Mr),ARMOOGUM Sandhya (AP),HEERASING Rishi (Mr),BCNS3208C,Cloud Computing,3+7,6,,VENCATAPILLAY Vellen (Mr),PT,Odd,Even,Saturday,12.30 - 15.30,Lab G1.2
ISE,BSc (Hons) Computer Science with Network Security,6,L3S2,BCNS/23A/FT1,15 Weeks,19,GOPEE Ajit (Mr),ARMOOGUM Sandhya (AP),HEERASING Rishi (Mr),BCNS3209C,Cryptocurrency & Blockchain,3+7,6,,ARMOOGUM Sandhya Assoc Prof (Dr),FT,Odd,Even,Monday,11.00 - 14.00,BPML 0.11
ISE,BSc (Hons) Computer Science with Network Security,6,L3S2,BCNS/23A/FT2,15 Weeks,16,GOPEE Ajit (Mr),ARMOOGUM Sandhya (AP),SOOKARAH Doorgesh (Mr),BCNS3006C,Capstone Computer Science Project (Ongoing),N/A,12,100% CWK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ISE,BSc (Hons) Computer Science with Network Security,6,L3S2,BCNS/23A/FT2,15 Weeks,16,GOPEE Ajit (Mr),ARMOOGUM Sandhya (AP),SOOKARAH Doorgesh (Mr),BCNS3207C,Digital Forensics,3+7,6,,SURAJBALI Bolanath (Mr),PT,Odd,Even,Saturday,9.00 - 12.00,Lab G1.1
ISE,BSc (Hons) Computer Science with Network Security,6,L3S2,BCNS/23A/FT2,15 Weeks,16,GOPEE Ajit (Mr),ARMOOGUM Sandhya (AP),SOOKARAH Doorgesh (Mr),BCNS3208C,Cloud Computing,3+7,6,,VENCATAPILLAY Vellen (Mr),PT,Odd,Even,Saturday,12.30 - 15.30,Lab G1.2
