"UNIVERSITY OF TECHNOLOGY, MAURITIUS",,,,,,,,,,,,,,,,,,,,,
SCHOOL OF INNOVATIVE TECHNOLOGIES AND ENGINEERING,,,,,,,,,,,,,,,,,,,,,
Academic Year 2025 Semester 2 and Academic Year 2025/2026 Semester 1,,,,,,,,,,,,,,,,,,,,,
Semester start date: 21 October 2025,,,,,,,,,,,,,,,,,,,,,
Last date for submission of Exemption: 10 November 2025,,,,,,,,,,,,,,,,,,,,,
Semester tentative end date/s: 01 February 2026 (Tentative) (week 12) & 22 February 2026 (week 15),,,,,,,,,,,,,,,,,,,,,
"Classes are conducted at BPML Building, La Tour Koenig and Practicals in Laboraties on UTM Campus",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Lecture / Practicals,,
Dept,Programme,Programme Document Version,"Level Sem
e.g L1S2",Cohort,Semester Duration (15 / 12 Weeks),No. of Students,"Head Of Dept
SURNAME Name (Title)","Programme Director
SURNAME Name (Title)",PROGRAMME COORDINATOR,Module Code,Module Title,L + T/P,No. of Credits,Weightage,"Resource Person
SURNAME Name (Title)",FT/PT,"Face to Face
(Odd / Even Weeks?) ","Online Sessions
(Odd / Even Weeks?) ",Day,Time ,Venue
AMS,BSc (Hons) Mathematics,v4.1,L1S2,BM/25A/FT,12 Weeks,14,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr),BHATOO-RAMKISSOON Omishwary (Dr),MATH 1211C,Real Analysis II,3,6,30:70,DOOKHITRAM Kumar (Dr),FT,Odd,Even,Tuesday,11:00 - 14:00,BPML 2.08
AMS,MSc Applied Statistics with Operational Research,v2.2,M S1,MASOR/25B/PT,12 Weeks,12,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr),SAIB Aslam (Dr),STAT 5320C,Fundamentals of Applied Statistics,3,6,100% CWK,BADURALLY-ADAM Noure-roukayya (Dr),PT,Fully Online,Fully Online,Saturday,09:00 - 12:00,Online
AMS,MSc Applied Statistics with Operational Research,v2.2,M S1,MASOR/25B/PT,12 Weeks,12,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr),SAIB Aslam (Dr),MATH 5321C,Methods for Operational Research ,3,6,100% CWK,BHATOO-RAMKISSOON Omishwary (Dr),FT,Fully Online,Fully Online,Thursday,16:30 - 19:30,Online
AMS,MSc Applied Statistics with Operational Research,v2.2,M S1,MASOR/25B/PT,12 Weeks,12,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr),SAIB Aslam (Dr),STAT 5322C,Credit Scores and Data Mining,3,6,100% CWK,BADURALLY-ADAM Noure-roukayya (Dr),PT,Fully Online,Fully Online,Saturday,13:00 - 16:00,Online
AMS,MSc Applied Statistics with Operational Research,v2.2,M S1,MASOR/25B/PT,12 Weeks,12,DOOKHITRAM K (Dr),SUNHALOO Sameer (AP - Dr),SAIB Aslam (Dr),COMP 5116C,Computational Methods in Statistics,3,6,100% CWK,BHATOO-RAMKISSOON Omishwary (Dr),FT,Fully Online,Fully Online,Friday,16:30 - 19:30,Online
BISE,BSc (Hons) Computing and Information Systems,3.1,L3S1,BCIS/25B/PT (Top Up),13 Weeks,15,SUDDUL Geerish (Dr.),KANAKSABEE Pillay (Mr),ASSOTALLY N A (Mrs),SEM2121C,Agile Project Management,3,6,,FOOGOOA Ravi (Dr)  ,FT,Wk 7 - 12,Wk 1 - 6,Saturday,08:15 - 11:00,Lab G0.3
BISE,BSc (Hons) Computing and Information Systems,3.1,L3S1,BCIS/25B/PT (Top Up),14 Weeks,15,SUDDUL Geerish (Dr.),KANAKSABEE Pillay (Mr),ASSOTALLY N A (Mrs),DBT2121C,Enterprise Database Application,3,6,,SEEGOBIN Hansraj (Mr),FT,Wk 7 - 12,Wk 1 - 6,Thursday,16:30 - 19:30,Lab G1.3
BISE,BSc (Hons) Computing and Information Systems,3.1,L3S1,BCIS/25B/PT (Top Up),15 Weeks,15,SUDDUL Geerish (Dr.),KANAKSABEE Pillay (Mr),ASSOTALLY N A (Mrs),WAT3115C,Web-based Information Systems,3,6,,KANAKSABEE Pillay (Mr),FT,Wk 7 - 12,Wk 1 - 6,Tuesday,16:30 - 19:30,Lab G1.3
BISE,BSc (Hons) Software Engineering,8,L3S2,BSE/23A/FT1,15 Weeks,24,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),NARSOO Jeetendre (Dr) ,SCG2136C,Blockchain Systems,2+1+7,6,50:50:00,FOOGOOA Ravi (Dr),FT,Even,Odd,Monday,11.00 - 14.00,BPML 1.09
BISE,BSc (Hons) Software Engineering,8,L3S2,BSE/23A/FT1,15 Weeks,24,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),NARSOO Jeetendre (Dr) ,MGMT2108C,Technopreneurship ,2+1+7,6,50:50:00,NARSOO Jeetendre (Dr) ,FT,Odd,Even,Wednesday,09:00 - 12:00,Lab G0.3
